순서,자사/타사,벌크코드,벌크명,L,a*,b*,△E,h,C
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.75383843,22.34423863
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.05318837,25.39851964
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.08728146,25.38203499
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.14428251,25.83650518
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,71.30005372,25.98155115
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.00397617,22.96136102
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.10654237,23.11724248
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.04203305,23.10615719
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.25270199,23.17236501
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.24681457,23.14083188
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.33099798,22.87777306
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.57534706,22.9197644
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.63724939,23.01867937
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.15096726,22.54579783
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.36172865,22.67222309
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.47841165,22.83851352
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.37088403,25.93618515
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.56826237,26.19101564
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.51520642,26.21129718
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.75502883,26.3950071
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.81657467,26.62864998
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.72423625,26.50590312
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.74562094,26.53422318
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.32335035,23.87862014
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,68.25648809,23.88971745
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.95673433,23.73372495
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.04409385,23.87041055
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.9402659,23.83293939
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.94121587,23.78821977
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,60.28364409,19.93114397
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,60.09113224,19.93494419
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.16985869,22.01920298
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.09202012,21.91285696
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,62.32569005,22.17700611
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,62.12430069,22.09365972
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.59011776,21.56373112
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.54032908,21.57071394
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.48952111,21.75773196
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.62131074,21.56403719
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,58.48876569,22.61483584
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,58.28462485,22.61746449
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.34109631,22.72207957
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.21956887,22.68920669
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,60.93332653,23.05347045
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,60.92368342,23.0670696
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.0312518,21.0559564
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.82224067,21.17157528
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.42289471,21.25606266
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,61.21292875,24.33777517
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,61.08007013,24.38031378
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.01535418,23.5604775
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,66.99509414,23.69438119
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,62.92608233,24.67374718
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.04850871,25.19658707
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,62.99727471,25.17438778
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,60.96489805,17.12182817
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,60.98113115,17.13057209
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,59.32115808,21.38270797
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,59.32545184,21.4050111
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.01980377,22.63766772
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,64.80156502,22.68912735
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,62.61958748,20.11323196
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,62.55589697,20.11356259
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,63.59976956,24.8741231
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,63.4968127,24.85167399
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,58.29194903,21.65180824
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,58.17255392,21.84454165
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,58.20019668,21.861537
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,58.0167264,21.97587768
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,65.4055411,22.36943674
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,65.32125433,22.41754893
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,67.2510215,25.60160347
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,67.19335996,25.72090589
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,67.26223972,25.79466999
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,67.12954757,25.67870713
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,65.95294034,22.70011894
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,65.67316358,22.67313829
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,65.67758591,22.62845112
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,65.49626177,23.00166298
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,70.52709384,25.13790763
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,70.46403743,25.1795413
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,69.58273381,27.05999261
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,69.54038785,27.12081304
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,69.44884952,27.4040143
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,69.3959578,25.14864012
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,69.35609481,25.18728449
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,66.36302678,25.91408304
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,66.38197553,26.00856205
27,타사,타겟제품,에스티로더 더블웨어 파운데이션  #2C0 쿨 바닐라,74.93,10.42,23.83,1.3485,62.96135803,25.42943373
